node_id,isp
ADL_1,aarnet
BNE_1,aarnet
CBR_1,aarnet
DRW_1,aarnet
HBA_1,aarnet
MEL_1,aarnet
PER_1,aarnet
SYD_1,aarnet
TSV_1,aarnet
ROK_1,aarnet
ISA_1,aarnet
ADL_1,abb
BNE_1,abb
CBR_1,abb
DRW_1,abb
HBA_1,abb
MEL_1,abb
PER_1,abb
SYD_1,abb
LST_1,abb
ADL_1,optus
BNE_1,optus
CBR_1,optus
DRW_1,optus
HBA_1,optus
MEL_1,optus
PER_1,optus
SYD_1,optus
LST_1,optus
PHE_1,optus
TSV_1,optus
ROK_1,optus
ADL_1,superloop
BNE_1,superloop
CBR_1,superloop
DRW_1,superloop
HBA_1,superloop
MEL_1,superloop
PER_1,superloop
SYD_1,superloop
ADL_1,telstra
BNE_1,telstra
CBR_1,telstra
DRW_1,telstra
HBA_1,telstra
MEL_1,telstra
PER_1,telstra
SYD_1,telstra
ADL_1,vocus
BNE_1,vocus
CBR_1,vocus
DRW_1,vocus
HBA_1,vocus
MEL_1,vocus
PER_1,vocus
SYD_1,vocus
TSV_1,vocus
PHE_1,vocus
ISA_1,vocus