srg_id,srg_type,start,end
ADL_DRW_TER_1,rail_road,ADL_1,DRW_1
ADL_SMAP_SUB_1,sub,ADL_1,SMAP_1
BNE_DRW_TER_1,road,BNE_1,DRW_1
BNE_ROK_TER_1,rail_road,BNE_1,ROK_1
BNE_ROK_TER_2,road,BNE_1,ROK_1
BNE_ROK_TER_3,road,BNE_1,ROK_1
BNE_TSV_TER_1,road,BNE_1,TSV_1
DRW_ISA_TER_1,road,DRW_1,ISA_1
DRW_PHE_SUB_1,sub,DRW_1,PHE_1
DRW_PHE_TER_1,road,DRW_1,PHE_1
HBA_LST_TER_1,road,HBA_1,LST_1
HBA_LST_TER_2,rail_road,HBA_1,LST_1
LRE_HGD_TER_1,road,LRE_1,HGD_1
LRE_ISA_TER_1,road,LRE_1,ISA_1
MEL_ADL_SUB_1,sub,MEL_1,ADL_1
MEL_ADL_TER_1,rail_road,MEL_1,ADL_1
MEL_ADL_TER_2,road,MEL_1,ADL_1
MEL_CBR_TER_1,road,MEL_1,CBR_1
MEL_CBR_TER_2,rail_road,MEL_1,CBR_1
MEL_CBR_TER_3,road,MEL_1,CBR_1
MEL_PER_SUB_1,sub,MEL_1,PER_1
MEL_LST_SUB_1,sub,MEL_1,LST_1
MEL_LST_SUB_2,sub,MEL_1,LST_1
MEL_LST_SUB_3,sub,MEL_1,LST_1
ISA_HGD_TER_1,rail_road,ISA_1,HGD_1
PER_ADL_SUB_1,sub,PER_1,ADL_1
PER_ADL_TER_1,road,PER_1,ADL_1
PER_ADL_TER_2,rail_road,PUG_1,PER_1
PER_DRW_SUB_1,sub,PER_1,DRW_1
PER_DRW_TER_1,road,PER_1,DRW_1
PER_PHE_SUB_1,sub,PER_1,PHE_1
PER_PHE_TER_1,road,PER_1,PHE_1
PER_PHE_TER_2,road,PER_1,PHE_1
PER_PHE_TER_3,road,PER_1,PHE_1
ROK_LRE_TER_1,road,ROK_1,LRE_1
SYD_ADL_TER_1,rail_road,SYD_1,PUG_1
SYD_BNE_SUB_1,sub,SYD_1,BNE_1
SYD_BNE_SUB_2,sub,SYD_1,BNE_1
SYD_BNE_SUB_3,sub,SYD_1,BNE_1
SYD_BNE_TER_1,rail_road,SYD_1,BNE_1
SYD_BNE_TER_2,rail_road,SYD_1,BNE_1
SYD_BNE_TER_3,road,SYD_1,BNE_1
SYD_BNE_TER_4,road,SYD_1,BNE_1
SYD_CBR_TER_1,road,SYD_1,CBR_1
SYD_CBR_TER_2,rail_road,SYD_1,CBR_1
SYD_CBR_TER_3,rail_road,SYD_1,CBR_1
SYD_MEL_SUB_1,sub,SYD_1,MEL_1
SYD_MEL_SUB_2,sub,SYD_1,MEL_1
SYD_MEL_TER_1,road,SYD_1,MEL_1
SYD_MEL_TER_2,rail_road,SYD_1,MEL_1
SYD_MEL_TER_3,road,MEL_1,SYD_1
SYD_PER_SUB_1,sub,SYD_1,PER_1
TSV_HGD_TER_1,rail_road,TSV_1,HGD_1
TSV_ROK_TER_1,rail_road,TSV_1,ROK_1
TSV_ROK_TER_2,road,TSV_1,ROK_1