Facility,Country,City
2degrees Auckland - Albany,New Zealand,Auckland
CoreSite - Los Angeles (LA1) One Wilshire,United States of America,Los Angeles
DataCentre220,New Zealand,Auckland
DigiCo Adelaide ADL2 (YourDC Hawthorn),Australia,Adelaide
DigiCo Sydney SYD1 (formerly Global Switch Australia),Australia,Sydney
Digital Realty Marseille MRS1/2/3/4,France,Marseille
Equinix AE1 - Adelaide,Australia,Adelaide
Equinix HK1 - Hong Kong,Hong Kong,Tsuen Wan
Equinix ME1/ME2 - Melbourne,Australia,Melbourne
Equinix PE2/PE3 - Perth,Australia,Shenton Park
Equinix SG2 - Singapore,Singapore,Singapore
Equinix SG3 - Singapore,Singapore,Singapore
"Equinix SV1/SV5/SV10 - Silicon Valley, San Jose",United States of America,San Jose
Equinix SY1/SY2 - Sydney,Australia,Sydney
Equinix SY3 - Sydney,Australia,Sydney
Equinix TY2 - Tokyo,Japan,Tokyo
NEXTDC B1,Australia,Brisbane
NEXTDC B2,Australia,Fortitude Valley
NEXTDC C1,Australia,Bruce
NEXTDC M1,Australia,Melbourne
NEXTDC P1,Australia,Málaga
NEXTDC P2,Australia,Perth
NEXTDC S1,Australia,Sydney
Secure Data Centre,Australia,Darwin
TransACT Telehouse,Australia,Canberra
Vocus Melbourne MEL03,Australia,Melbourne
Vocus Perth PER01,Australia,Perth